day_index,global_day,puzzle_id,category,human_reviewed,reviewer,notes
0,1,wordly-001,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
0,1,spelling-001,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
0,1,crossword-001,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
0,1,sudoku-001,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
0,1,connections-001,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
1,2,wordly-002,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
1,2,spelling-002,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
1,2,crossword-002,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
1,2,sudoku-002,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
1,2,connections-002,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
2,3,wordly-003,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
2,3,spelling-003,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
2,3,crossword-003,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
2,3,sudoku-003,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
2,3,connections-003,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
3,4,wordly-004,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
3,4,spelling-004,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
3,4,crossword-004,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
3,4,sudoku-004,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
3,4,connections-004,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
4,5,wordly-005,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
4,5,spelling-005,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
4,5,crossword-005,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
4,5,sudoku-005,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
4,5,connections-005,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
5,6,wordly-006,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
5,6,spelling-006,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
5,6,crossword-006,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
5,6,sudoku-006,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
5,6,connections-006,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
6,7,wordly-007,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
6,7,spelling-007,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
6,7,crossword-007,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
6,7,sudoku-007,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
6,7,connections-007,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
7,8,wordly-008,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
7,8,spelling-008,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
7,8,crossword-008,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
7,8,sudoku-008,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
7,8,connections-008,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
8,9,wordly-009,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
8,9,spelling-009,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
8,9,crossword-009,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
8,9,sudoku-009,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
8,9,connections-009,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
9,10,wordly-010,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
9,10,spelling-010,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
9,10,crossword-010,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
9,10,sudoku-010,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
9,10,connections-010,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
10,11,wordly-011,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
10,11,spelling-011,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
10,11,crossword-011,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
10,11,sudoku-011,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
10,11,connections-011,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
11,12,wordly-012,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
11,12,spelling-012,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
11,12,crossword-012,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
11,12,sudoku-012,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
11,12,connections-012,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
12,13,wordly-013,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
12,13,spelling-013,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
12,13,crossword-013,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
12,13,sudoku-013,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
12,13,connections-013,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
13,14,wordly-014,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
13,14,spelling-014,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
13,14,crossword-014,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
13,14,sudoku-014,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
13,14,connections-014,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
14,15,wordly-015,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
14,15,spelling-015,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
14,15,crossword-015,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
14,15,sudoku-015,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
14,15,connections-015,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
15,16,wordly-016,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
15,16,spelling-016,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
15,16,crossword-016,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
15,16,sudoku-016,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
15,16,connections-016,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
16,17,wordly-017,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
16,17,spelling-017,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
16,17,crossword-017,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
16,17,sudoku-017,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
16,17,connections-017,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
17,18,wordly-018,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
17,18,spelling-018,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
17,18,crossword-018,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
17,18,sudoku-018,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
17,18,connections-018,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
18,19,wordly-019,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
18,19,spelling-019,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
18,19,crossword-019,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
18,19,sudoku-019,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
18,19,connections-019,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
19,20,wordly-020,WORDLY,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
19,20,spelling-020,SPELLING_B,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
19,20,crossword-020,CROSSWORD,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
19,20,sudoku-020,SUDOKU,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
19,20,connections-020,CONNECTIONS,true,phase-6-fixture-review,Reviewed fixture for child-safe Wordly phase coverage.
